Date| tempC
{2018, 1, 1, 0, 0, 0.}| -11.1
{2018, 1, 1, 0, 51, 0.}| -11.7
{2018, 1, 1, 1, 51, 0.}| -11.7
{2018, 1, 1, 2, 51, 0.}| -12.2
{2018, 1, 1, 3, 0, 0.}| -12.2
{2018, 1, 1, 3, 51, 0.}| -12.2
{2018, 1, 1, 4, 51, 0.}| 32.8
{2018, 1, 1, 4, 59, 0.}| -32.8
{2018, 1, 1, 5, 51, 0.}| -32.8
{2018, 1, 1, 6, 0, 0.}| -32.8
{2018, 1, 1, 6, 51, 0.}| -33.3
{2018, 1, 1, 7, 51, 0.}| -33.3
{2018, 1, 1, 8, 51, 0.}| 33.3
{2018, 1, 1, 9, 0, 0.}| 33.3
{2018, 1, 1, 9, 51, 0.}| 33.9
{2018, 1, 1, 10, 51, 0.}| 33.9
{2018, 1, 1, 11, 51, 0.}| 33.9
{2018, 1, 1, 12, 0, 0.}| 33.9
{2018, 1, 1, 12, 51, 0.}| 33.3
{2018, 1, 1, 13, 51, 0.}| -12.2
{2018, 1, 1, 14, 51, 0.}| -11.1
{2018, 1, 1, 15, 0, 0.}| -11.1
{2018, 1, 1, 15, 51, 0.}| -10.6
{2018, 1, 1, 16, 51, 0.}| -9.4
{2018, 1, 1, 17, 51, 0.}| -8.3
{2018, 1, 1, 18, 0, 0.}| -8.3
{2018, 1, 1, 18, 51, 0.}| -8.3
{2018, 1, 1, 19, 51, 0.}| -7.8
{2018, 1, 1, 20, 51, 0.}| -7.8
{2018, 1, 1, 21, 0, 0.}| -7.8
{2018, 1, 1, 21, 51, 0.}| -8.3
{2018, 1, 1, 22, 51, 0.}| -7.8
{2018, 1, 1, 23, 51, 0.}| -7.8
{2018, 1, 2, 0, 0, 0.}| -7.8
{2018, 1, 2, 0, 51, 0.}| -8.3
{2018, 1, 2, 1, 51, 0.}| -8.3
{2018, 1, 2, 2, 51, 0.}| -8.3
{2018, 1, 2, 3, 0, 0.}| -8.3
{2018, 1, 2, 3, 51, 0.}| -8.3
{2018, 1, 2, 4, 51, 0.}| -8.9
{2018, 1, 2, 4, 59, 0.}| -8.9
{2018, 1, 2, 5, 51, 0.}| -9.4
{2018, 1, 2, 6, 0, 0.}| -9.4
{2018, 1, 2, 6, 51, 0.}| -9.4
{2018, 1, 2, 7, 51, 0.}| -9.4
{2018, 1, 2, 8, 51, 0.}| -10
{2018, 1, 2, 9, 0, 0.}| -10
{2018, 1, 2, 9, 51, 0.}| -10
{2018, 1, 2, 10, 51, 0.}| -10
{2018, 1, 2, 11, 51, 0.}| -10
{2018, 1, 2, 12, 0, 0.}| -10
{2018, 1, 2, 12, 51, 0.}| -10
{2018, 1, 2, 13, 51, 0.}| -8.9
{2018, 1, 2, 14, 51, 0.}| -7.8
{2018, 1, 2, 15, 0, 0.}| -7.8
{2018, 1, 2, 15, 51, 0.}| -6.7
{2018, 1, 2, 16, 51, 0.}| -5.6
{2018, 1, 2, 17, 51, 0.}| -4.4
{2018, 1, 2, 18, 0, 0.}| -4.4
{2018, 1, 2, 18, 51, 0.}| -3.9
{2018, 1, 2, 19, 51, 0.}| -3.3
{2018, 1, 2, 20, 51, 0.}| -3.9
{2018, 1, 2, 21, 0, 0.}| -3.9
{2018, 1, 2, 21, 51, 0.}| -4.4
{2018, 1, 2, 22, 51, 0.}| -5
{2018, 1, 2, 23, 51, 0.}| -5
{2018, 1, 3, 0, 51, 0.}| -6.1
{2018, 1, 3, 1, 51, 0.}| -6.7
{2018, 1, 3, 2, 51, 0.}| -6.7
{2018, 1, 3, 3, 51, 0.}| -7.2
{2018, 1, 3, 4, 51, 0.}| -6.7
{2018, 1, 3, 4, 59, 0.}|  -6.7
{2018, 1, 3, 5, 51, 0.}| -7.2
{2018, 1, 3, 6, 51, 0.}| -7.8
{2018, 1, 3, 7, 51, 0.}| -8.3
{2018, 1, 3, 8, 51, 0.}| -7.8
{2018, 1, 3, 9, 51, 0.}| -7.8
{2018, 1, 3, 10, 51, 0.}| -8.3
{2018, 1, 3, 11, 51, 0.}| -9.4
{2018, 1, 3, 12, 51, 0.}| -8.3
{2018, 1, 3, 13, 51, 0.}| -7.2
